Altium Designer Pick and Place Locations
C:\Daten\fpdlinkANDraspi\piCam2fpdlink\altium\Project Outputs for piCam2fpdlink\Pick Place\Pick Place for piCam2fpdlink(piCam2fpdlink).txt

========================================================================================================================
File Design Information:

Date:       10.07.20
Time:       12:39
Revision:   cc6e4e672fe913f03dc976e4e057f0f2482867ef
Variant:    piCam2fpdlink
Units used: mm

Designator Layer       Center-X(mm) Center-Y(mm) Rotation Pad-X(mm) Pad-Y(mm) 
C1         BottomLayer 17.8000      5.0000       270      17.8000   5.4500    
C2         TopLayer    9.3000       2.1250       90       9.3000    1.3750    
C3         TopLayer    7.9250       1.2250       90       7.9250    0.7750    
C4         TopLayer    8.8500       6.3750       180      10.3000   6.3750    
C5         BottomLayer 18.7500      5.0000       270      18.7500   5.4500    
C6         TopLayer    15.9250      12.6750      0        15.4750   12.6750   
C7         BottomLayer 15.9250      12.6750      360      15.4750   12.6750   
C8         TopLayer    20.1750      7.4250       270      20.1750   7.8750    
C9         BottomLayer 20.3000      5.4000       180      20.7500   5.4000    
C10        TopLayer    15.3750      6.3000       90       15.3750   5.8500    
C11        BottomLayer 15.3750      6.3000       90       15.3750   5.8500    
C12        TopLayer    18.5000      10.3750      180      19.4500   10.3750   
C13        TopLayer    17.9750      13.1500      180      18.4250   13.1500   
C14        BottomLayer 17.9750      13.1500      180      18.4250   13.1500   
C15        TopLayer    18.1198      3.1432       90       18.1198   2.1932    
C16        TopLayer    17.3250      7.2750       90       17.3250   6.8250    
C17        TopLayer    17.1000      5.4000       180      17.5500   5.4000    
C18        TopLayer    23.2750      5.9500       90       23.2750   5.0000    
C19        TopLayer    21.8500      5.3000       90       21.8500   4.8500    
C20        BottomLayer 21.8500      5.3000       90       21.8500   4.8500    
C21        TopLayer    20.3000      5.4000       180      20.7500   5.4000    
C22        TopLayer    18.7750      7.6750       270      18.7750   8.1250    
C23        BottomLayer 22.6250      7.4000       270      22.6250   7.8500    
C24        BottomLayer 4.6250       17.5750      360      3.7750    17.5750   
C25        BottomLayer 11.0750      20.6250      180      11.5250   20.6250   
C26        BottomLayer 5.4500       21.1750      90       5.4500    20.7250   
C27        TopLayer    5.3500       15.3750      180      5.8000    15.3750   
C28        TopLayer    10.5750      11.3500      360      9.7250    11.3500   
C29        TopLayer    2.8750       5.8750       180      4.3250    5.8750    
C30        BottomLayer 7.2000       8.6750       180      8.6500    8.6750    
C31        TopLayer    5.2000       2.6500       90       5.2000    1.2000    
C32        BottomLayer 6.3500       11.1500      180      7.8000    11.1500   
C33        TopLayer    6.3500       11.1500      180      7.8000    11.1500   
J1         TopLayer    12.5000      19.0500      180      19.5000   18.0000   
L1         TopLayer    13.3250      2.4000       90       13.3250   1.1000    
L2         BottomLayer 12.3250      5.2000       90       12.3250   4.4000    
L3         TopLayer    12.3250      5.9750       270      12.3250   6.7750    
L4         TopLayer    15.9171      2.0076       270      15.9171   2.8076    
L5         TopLayer    7.7750       3.6750       90       7.7750    2.8750    
L6         TopLayer    15.7900      13.8000      180      16.3750   13.8000   
L7         TopLayer    20.3000      4.3000       360      19.7150   4.3000    
L8         TopLayer    14.2750      6.2750       270      14.2750   6.8600    
L9         TopLayer    11.4750      13.8250      270      11.4750   14.6250   
Q1         TopLayer    10.4750      9.0750       180      11.4250   8.4250    
R1         TopLayer    10.8000      2.0250       90       10.8000   1.1750    
R2         BottomLayer 12.8250      2.1250       180      13.3250   2.1250    
R3         BottomLayer 13.3250      14.0500      90       13.3250   13.5500   
R4         BottomLayer 13.3250      11.9250      270      13.3250   12.4250   
R7         BottomLayer 23.6750      7.5000       90       23.6750   7.0000    
R8         BottomLayer 13.3500      8.5250       360      12.8500   8.5250    
R9         TopLayer    14.4250      11.0000      270      14.4250   11.5000   
R10        TopLayer    12.6500      9.0750       270      12.6500   9.5750    
R11        TopLayer    7.3500       16.2250      180      7.8500    16.2250   
R12        BottomLayer 10.0500      19.5250      360      9.5500    19.5250   
R13        BottomLayer 5.4750       19.1500      270      5.4750    19.6500   
R14        BottomLayer 8.0000       22.8750      360      7.5000    22.8750   
R17        TopLayer    2.4750       7.5250       360      1.9750    7.5250    
R18        TopLayer    5.3250       12.8500      360      4.8250    12.8500   
R19        BottomLayer 5.3000       12.8250      360      4.8000    12.8250   
R20        BottomLayer 5.3000       13.8250      180      5.8000    13.8250   
TP1        BottomLayer 15.1250      7.9000       90       15.1250   7.9000    
TP4        BottomLayer 14.7500      9.6000       90       14.7500   9.6000    
TP5        BottomLayer 14.7500      8.6750       90       14.7500   8.6750    
TP6        TopLayer    8.7000       16.2750      90       8.7000    16.2750   
TP7        TopLayer    4.3000       8.6750       180      4.3000    8.6750    
U1         BottomLayer 18.7750      9.2750       180      21.1750   11.0250   
U2         BottomLayer 8.0250       21.1750      360      6.5000    20.4250   
U3         TopLayer    2.1750       10.2000      90       0.9750    8.6750    
U4         TopLayer    8.4500       13.8250      360      7.1500    14.7750   
X1         BottomLayer 8.0000       4.0000       180      8.0000    4.0000    
